,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16
0,0.0,0.37,0.17,0.0,0.66,0.01,1.0,0.31,0.96,0.71,0.59,1.0,0.12,0.98,0.09,0.59
1,0.0,0.56,0.05,0.14,0.47,0.0,0.86,0.25,1.0,0.66,0.76,1.0,0.34,0.8,0.06,0.45
2,0.0,0.7,0.01,0.29,0.37,0.0,0.88,0.05,1.0,0.43,0.78,0.79,0.34,1.0,0.05,0.7
3,0.0,0.97,0.02,0.58,0.19,0.21,0.65,0.0,1.0,0.29,0.98,0.67,0.66,1.0,0.16,0.93
4,1.0,0.66,0.61,1.0,0.0,0.51,0.08,0.0,0.82,0.32,0.92,0.89,0.64,0.61,0.08,0.08
5,0.1,0.8,0.12,0.37,0.38,0.0,0.9,0.04,1.0,0.44,0.72,0.82,0.24,1.0,0.0,0.62
6,0.11,1.0,0.0,0.48,0.17,0.0,0.68,0.04,1.0,0.46,0.89,0.94,0.4,0.92,0.13,0.5
7,0.11,0.7,0.0,0.31,0.32,0.0,0.89,0.09,1.0,0.47,0.78,0.84,0.27,1.0,0.02,0.66
8,0.11,0.84,0.0,0.34,0.35,0.0,0.84,0.19,1.0,0.67,0.65,1.0,0.21,0.7,0.11,0.24
9,0.12,0.67,0.14,0.25,0.5,0.0,0.93,0.17,1.0,0.57,0.72,0.91,0.28,1.0,0.0,0.67
10,0.13,1.0,0.0,0.54,0.25,0.13,0.7,0.0,1.0,0.35,0.86,0.81,0.41,0.94,0.06,0.62
11,0.13,0.76,0.01,0.44,0.15,0.0,0.67,0.01,1.0,0.38,0.93,0.85,0.45,1.0,0.0,0.74
12,0.14,0.63,0.01,0.32,0.34,0.0,0.78,0.04,1.0,0.47,0.79,0.92,0.37,1.0,0.0,0.71
13,0.14,0.86,0.0,0.75,0.01,0.29,0.4,0.0,0.94,0.1,1.0,0.53,0.62,0.86,0.09,1.0
14,0.15,1.0,0.0,0.68,0.06,0.23,0.41,0.0,0.8,0.05,1.0,0.42,0.8,0.8,0.42,0.94
15,0.15,0.95,0.0,0.55,0.02,0.15,0.48,0.0,0.92,0.28,1.0,0.68,0.63,1.0,0.06,0.98
16,0.01,0.66,0.0,0.25,0.39,0.0,0.84,0.08,1.0,0.53,0.75,0.95,0.32,1.0,0.12,0.59
17,0.16,0.75,0.0,0.3,0.27,0.0,0.71,0.13,1.0,0.49,0.96,0.95,0.52,1.0,0.24,0.65
18,0.17,1.0,0.0,0.65,0.08,0.23,0.53,0.0,1.0,0.22,0.96,0.63,0.56,0.94,0.08,0.8
19,0.17,0.74,0.2,0.4,0.39,0.0,0.84,0.05,1.0,0.46,0.83,0.86,0.35,1.0,0.0,0.71
20,0.17,0.98,0.0,0.47,0.31,0.03,0.84,0.0,1.0,0.5,0.71,0.98,0.23,1.0,0.03,0.52
21,0.18,0.84,0.15,0.44,0.39,0.04,0.83,0.0,1.0,0.43,0.83,0.84,0.37,1.0,0.0,0.71
22,0.19,1.0,0.1,0.46,0.29,0.0,0.75,0.15,1.0,0.58,0.65,0.92,0.19,0.85,0.0,0.4
23,0.19,0.78,0.0,0.36,0.25,0.0,0.71,0.04,1.0,0.39,0.9,0.84,0.49,1.0,0.1,0.76
24,0.19,0.86,0.09,0.55,0.13,0.16,0.6,0.0,0.96,0.33,1.0,0.72,0.57,1.0,0.0,0.82
25,0.19,0.92,0.0,0.51,0.17,0.07,0.64,0.0,1.0,0.29,0.91,0.77,0.5,1.0,0.04,0.87
26,0.2,0.81,0.0,0.39,0.22,0.0,0.68,0.05,1.0,0.37,0.89,0.83,0.47,1.0,0.14,0.68
27,0.2,0.93,0.01,0.47,0.09,0.0,0.63,0.0,1.0,0.38,1.0,0.84,0.45,1.0,0.0,0.7
